*Step  = 0
*Time  = 0
*Data  = pipette_rigid_body
4,4.5,44.24,0,0
*Step  = 1
*Time  = 0.1
*Data  = pipette_rigid_body
4,4.5,34.54,-1.83773899325e-14,1.60031987662e-12
*Step  = 2
*Time  = 0.2
*Data  = pipette_rigid_body
4,4.5,34.54,-2.29091572815e-14,0
*Step  = 3
*Time  = 0.3
*Data  = pipette_rigid_body
4,4.5,34.54,-2.23928259646e-14,-1.77813319624e-13
*Step  = 4
*Time  = 0.4
*Data  = pipette_rigid_body
4,4.5,34.54,6.583983323e-14,0
*Step  = 5
*Time  = 0.5
*Data  = pipette_rigid_body
4,4.5,34.54,-2.64823857e-14,-1.77813319624e-13
*Step  = 6
*Time  = 0.6
*Data  = pipette_rigid_body
4,4.5,34.54,-2.25148278192e-14,3.55626639248e-13
*Step  = 7
*Time  = 0.7
*Data  = pipette_rigid_body
4,4.5,34.54,-2.06548987251e-14,0
*Step  = 8
*Time  = 0.8
*Data  = pipette_rigid_body
4,4.5,34.54,6.81705110151e-14,-1.77813319624e-13
*Step  = 9
*Time  = 0.9
*Data  = pipette_rigid_body
4,4.5,34.54,-1.93170892858e-14,0
*Step  = 10
*Time  = 1
*Data  = pipette_rigid_body
4,4.5,34.54,6.5888447797e-14,1.77813319624e-13
*Step  = 1
*Time  = 1.1
*Data  = pipette_rigid_body
4,4.5,34.54,6.22557598607e-14,-1.77813319624e-12
*Step  = 2
*Time  = 1.2
*Data  = pipette_rigid_body
4,4.5,34.54,-1.13223591644e-13,3.55626639248e-13
*Step  = 3
*Time  = 1.3
*Data  = pipette_rigid_body
4,4.5,34.54,-2.55198046717e-14,-1.77813319624e-13
*Step  = 4
*Time  = 1.4
*Data  = pipette_rigid_body
4,4.5,34.54,6.46924864611e-14,0
*Step  = 5
*Time  = 1.5
*Data  = pipette_rigid_body
4,4.5,34.54,-2.31804651999e-14,1.77813319624e-13
*Step  = 6
*Time  = 1.6
*Data  = pipette_rigid_body
4,4.5,34.54,-2.47776470903e-14,0
*Step  = 7
*Time  = 1.7
*Data  = pipette_rigid_body
4,4.5,34.54,6.57221277193e-14,-5.33439958872e-13
*Step  = 8
*Time  = 1.8
*Data  = pipette_rigid_body
4,4.5,34.54,-2.27437604253e-14,3.55626639248e-13
*Step  = 9
*Time  = 1.9
*Data  = pipette_rigid_body
4,4.5,34.54,-2.46837339948e-14,1.77813319624e-13
*Step  = 10
*Time  = 2
*Data  = pipette_rigid_body
4,4.5,34.54,-2.5788441819e-14,0
*Step  = 1
*Time  = 2.1
*Data  = pipette_rigid_body
4,4.5,42.54,8.88231493638e-15,3.55626639248e-13
*Step  = 2
*Time  = 2.2
*Data  = pipette_rigid_body
4,4.5,42.54,-1.57503157822e-14,0
*Step  = 3
*Time  = 2.3
*Data  = pipette_rigid_body
4,4.5,42.54,6.58282929165e-14,0
*Step  = 4
*Time  = 2.4
*Data  = pipette_rigid_body
4,4.5,42.54,6.34567744533e-14,3.55626639248e-13
*Step  = 5
*Time  = 2.5
*Data  = pipette_rigid_body
4,4.5,42.54,-2.16437691857e-14,0
*Step  = 6
*Time  = 2.6
*Data  = pipette_rigid_body
4,4.5,42.54,-1.11419847193e-13,0
*Step  = 7
*Time  = 2.7
*Data  = pipette_rigid_body
4,4.5,42.54,-2.54142546692e-14,0
*Step  = 8
*Time  = 2.8
*Data  = pipette_rigid_body
4,4.5,42.54,-2.1860819412e-14,0
*Step  = 9
*Time  = 2.9
*Data  = pipette_rigid_body
4,4.5,42.54,6.67346473662e-14,0
*Step  = 10
*Time  = 3
*Data  = pipette_rigid_body
4,4.5,42.54,6.65714692077e-14,0
*Step  = 1
*Time  = 3.1
*Data  = pipette_rigid_body
4,0.5,42.54,-2.2226664953e-13,0
*Step  = 2
*Time  = 3.2
*Data  = pipette_rigid_body
4,0.5,42.54,-4.4453329906e-14,1.00974195868e-28
*Step  = 3
*Time  = 3.3
*Data  = pipette_rigid_body
4,0.5,42.54,8.8906659812e-14,0
*Step  = 4
*Time  = 3.4
*Data  = pipette_rigid_body
4,0.5,42.54,8.8906659812e-14,0
*Step  = 5
*Time  = 3.5
*Data  = pipette_rigid_body
4,0.5,42.54,0,0
*Step  = 6
*Time  = 3.6
*Data  = pipette_rigid_body
4,0.5,42.54,0,0
*Step  = 7
*Time  = 3.7
*Data  = pipette_rigid_body
4,0.5,42.54,0,0
*Step  = 8
*Time  = 3.8
*Data  = pipette_rigid_body
4,0.5,42.54,8.8906659812e-14,0
*Step  = 9
*Time  = 3.9
*Data  = pipette_rigid_body
4,0.5,42.54,8.8906659812e-14,1.00974195868e-28
*Step  = 10
*Time  = 4
*Data  = pipette_rigid_body
4,0.5,42.54,0,0
*Step  = 1
*Time  = 4.1
*Data  = pipette_rigid_body
4,7.5,42.54,-3.11173309342e-13,0
*Step  = 2
*Time  = 4.2
*Data  = pipette_rigid_body
4,7.5,42.54,0,0
*Step  = 3
*Time  = 4.3
*Data  = pipette_rigid_body
4,7.5,42.54,0,0
*Step  = 4
*Time  = 4.4
*Data  = pipette_rigid_body
4,7.5,42.54,-8.8906659812e-14,0
*Step  = 5
*Time  = 4.5
*Data  = pipette_rigid_body
4,7.5,42.54,8.8906659812e-14,3.55626639248e-13
*Step  = 6
*Time  = 4.6
*Data  = pipette_rigid_body
4,7.5,42.54,-4.4453329906e-14,0
*Step  = 7
*Time  = 4.7
*Data  = pipette_rigid_body
4,7.5,42.54,0,0
*Step  = 8
*Time  = 4.8
*Data  = pipette_rigid_body
4,7.5,42.54,1.77813319624e-13,0
*Step  = 9
*Time  = 4.9
*Data  = pipette_rigid_body
4,7.5,42.54,-8.8906659812e-14,0
*Step  = 10
*Time  = 5
*Data  = pipette_rigid_body
4,7.5,42.54,4.4453329906e-14,-3.55626639248e-13
